step,inflation,output_gap,interest_rate,E_pi,reward,eps_d,eps_s,shock_active
1,0.034754,0.023465,0.0,0.042055,-0.002406,0.002438,-0.0104,0
2,0.043279,0.026,0.0,0.036579,-0.000697,0.00771,0.003166,0
3,0.031654,0.010591,0.0,0.041604,-0.000251,-0.010211,-0.011122,0
4,0.025606,0.010946,0.0,0.034142,-0.000534,-0.006125,-0.009836,0
5,0.014448,0.009448,0.0,0.02774,-0.001395,-0.004422,-0.014432,0
6,0.018636,0.012825,0.0,0.017771,-0.001077,0.00394,-0.000881,0
7,0.030854,0.012496,0.0,0.01842,-0.000323,0.003286,0.010744,0
8,0.028308,0.019913,0.0,0.027745,-0.00067,0.00604,-0.002147,0
9,0.020198,0.021262,0.0,0.028167,-0.001236,0.007178,-0.010877,0
10,0.018415,0.023148,0.0,0.02219,-0.001468,0.012052,-0.007025,0
11,0.010636,0.016637,0.0,0.019359,-0.002001,0.006958,-0.011025,0
12,0.007688,0.021059,0.0,0.012817,-0.002532,0.014651,-0.00816,0
13,0.00216,0.011314,0.0,0.00897,-0.002992,0.006829,-0.008417,0
14,0.004074,0.01097,0.0,0.003863,-0.002702,0.009039,-0.001396,0
15,0.009197,0.011639,0.0,0.004021,-0.002033,0.009629,0.003471,0
16,0.010016,0.027825,0.0,0.007903,-0.002572,0.023873,-0.001982,0
17,0.00267,0.017357,0.0,0.009488,-0.003088,0.012613,-0.009327,0
18,0.012416,0.015944,0.0,0.004374,-0.001776,0.013757,0.005694,0
19,0.007404,0.013921,0.0,0.010405,-0.002319,0.008719,-0.004985,0
20,0.012125,0.003584,0.0,0.008154,-0.001567,-0.000493,0.003515,0
21,0.020237,0.011167,0.0,0.011133,-0.000906,0.005601,0.00754,0
22,0.025763,0.007577,0.0,0.017961,-0.000463,-0.001403,0.006846,0
23,0.031648,0.011857,0.0,0.023813,-0.00028,-4.9e-05,0.006294,0
24,0.038672,0.021782,0.0,0.029689,-0.000478,0.006937,0.006013,0
25,0.04462,0.0285,0.0,0.036426,-0.000855,0.010287,0.004283,0
26,0.055649,0.0308,0.0,0.042572,-0.001438,0.009514,0.008883,0
27,0.057168,0.021192,0.0,0.05238,-0.001039,-0.004997,0.002133,0
28,0.053411,0.020724,0.0,0.055971,-0.000789,-0.007261,-0.005109,0
29,0.068355,0.019741,0.0,0.054051,-0.001998,-0.007284,0.011884,0
