step,inflation,output_gap,interest_rate,E_pi,reward,eps_d,eps_s,shock_active
1,0.029763,-0.009807,0.066543,0.042055,-0.000327,0.002438,-0.0104,0
2,0.03708,0.009376,0.029505,0.032836,-0.000791,0.00771,0.003166,0
3,0.021402,-0.020896,0.057387,0.036019,-0.001517,-0.010211,-0.011122,0
4,0.015701,0.004874,0.003057,0.025056,-0.002681,-0.006125,-0.009836,0
5,0.00399,0.003753,0.00169,0.01804,-0.002608,-0.004422,-0.014432,0
6,0.0077,0.007691,0.0,0.007503,-0.002147,0.00394,-0.000881,0
7,0.019385,0.007112,0.0,0.007651,-0.000901,0.003286,0.010744,0
8,0.015379,0.008257,0.012018,0.016451,-0.001353,0.00604,-0.002147,0
9,0.006671,0.013714,0.002575,0.015647,-0.002454,0.007178,-0.010877,0
10,0.004277,0.01651,0.0,0.008915,-0.002828,0.012052,-0.007025,0
11,-0.004191,0.009676,0.0,0.005436,-0.003999,0.006958,-0.011025,0
12,-0.007863,0.013758,0.0,-0.001785,-0.004771,0.014651,-0.00816,0
13,-0.014149,0.003657,0.0,-0.006343,-0.005878,0.006829,-0.008417,0
14,-0.01303,0.00294,0.0,-0.012197,-0.005633,0.009039,-0.001396,0
15,-0.008741,0.003218,0.0,-0.012822,-0.004762,0.009629,0.003471,0
16,-0.008796,0.018993,0.0,-0.009761,-0.005123,0.023873,-0.001982,0
17,-0.01706,0.008095,0.0,-0.009037,-0.006577,0.012613,-0.009327,0
18,-0.008275,0.00623,0.0,-0.015054,-0.0047,0.013757,0.005694,0
19,-0.014296,0.003734,0.0,-0.00997,-0.00591,0.008719,-0.004985,0
20,-0.010632,-0.0071,0.0,-0.013214,-0.005178,-0.000493,0.003515,0
21,-0.00363,-3.8e-05,0.0,-0.011278,-0.003807,0.005601,0.00754,0
22,0.000733,-0.004174,0.0,-0.005542,-0.003101,-0.001403,0.006846,0
23,0.005397,-0.000467,0.0,-0.000836,-0.002395,-4.9e-05,0.006294,0
24,0.011141,0.008857,0.0,0.003839,-0.001744,0.006937,0.006013,0
25,0.015748,0.014945,0.0,0.009316,-0.0014,0.010287,0.004283,0
26,0.024856,0.013163,0.006842,0.01414,-0.000655,0.009514,0.008883,0
27,0.022847,-0.008269,0.02872,0.022177,-0.000896,-0.004997,0.002133,0
28,0.016982,-0.002413,0.012984,0.02268,-0.001189,-0.007261,-0.005109,0
29,0.030301,0.001295,0.001248,0.018406,-0.000259,-0.007284,0.011884,0
30,0.041383,-0.016561,0.036399,0.027327,-0.000896,-0.012025,0.016813,0
31,0.039649,-0.030534,0.055176,0.037869,-0.001109,-0.021881,0.006739,0
32,0.046267,-0.01634,0.043855,0.039204,-0.00041,-0.014014,0.009906,0
33,0.05559,-0.015618,0.067496,0.044501,-0.001009,-0.00412,0.013877,0
34,0.052265,-0.024848,0.091166,0.052818,-0.001198,-0.005674,0.003703,0
35,0.050684,-0.010026,0.078238,0.052403,-0.000412,0.002892,0.000309,0
36,0.035934,-0.023473,0.081697,0.051114,-0.00059,-0.008181,-0.011148,0
37,0.035774,-0.012267,0.038098,0.039729,-0.001137,-0.013082,-0.001717,0
38,0.040577,-0.011288,0.043303,0.036763,-0.000142,-0.008018,0.005875,0
39,0.04177,-0.017118,0.055798,0.039623,-0.000377,-0.009031,0.00511,0
40,0.039498,-0.008633,0.055865,0.041233,-7.5e-05,-0.001317,-2.7e-05,0
